Temperature,A3,B3,C3,D3,E3,F3,G3,H3
69.5,3659.395666,4540.454616,4873.258817,4858.231808,5169.744268,5386.506752,3363.357506,3261.497032
69.6,3657.523456,4532.81057,4865.185728,4850.90891,5158.713313,5373.70231,3362.116006,3259.798261
69.7,3655.538671,4525.468753,4856.034685,4843.040198,5147.37863,5360.804602,3361.084923,3258.525166
69.8,3653.61751,4517.918816,4845.889425,4835.235153,5135.730014,5347.926691,3359.985122,3257.565025
69.9,3651.534857,4510.764843,4835.896175,4826.553352,5123.833463,5334.689939,3358.69267,3256.801636
70,3649.241596,4503.387006,4825.632863,4817.122618,5111.455806,5321.11803,3357.543235,3256.219678
70.1,3646.792784,4496.626142,4815.211819,4807.028044,5099.071561,5307.552453,3356.425705,3255.809895
70.2,3644.389471,4489.860028,4804.881592,4796.622899,5086.415866,5293.602117,3355.137053,3255.182894
70.3,3641.783151,4482.732606,4794.893723,4785.534048,5073.29268,5278.605555,3354.016597,3254.53267
70.4,3638.879522,4475.017928,4784.205206,4774.501654,5060.151868,5263.483982,3352.887506,3253.769761
70.5,3636.108913,4467.111219,4772.698914,4763.078808,5046.428868,5247.705072,3351.711095,3252.855789
70.6,3633.266612,4458.392918,4760.713659,4751.175473,5031.46927,5231.347546,3350.413427,3251.895439
70.7,3630.253524,4448.962602,4748.185601,4739.01656,5015.794506,5214.268132,3348.954253,3251.223092
70.8,3627.359459,4439.27956,4735.076034,4726.663829,4999.790675,5197.043216,3347.476041,3250.626593
70.9,3624.343164,4429.467404,4721.792914,4713.721092,4982.835958,5178.732219,3346.105617,3249.906287
71,3621.301739,4419.361788,4708.547093,4700.82606,4965.6465,5159.999659,3344.883158,3249.157183
71.1,3618.195805,4409.328306,4695.028368,4688.1425,4948.592207,5140.437456,3343.803799,3248.418213
71.2,3615.131061,4399.536263,4681.107421,4675.296738,4930.976125,5119.874377,3342.713062,3247.340882
71.3,3611.742044,4390.13198,4666.467554,4661.992215,4912.529829,5098.156746,3341.593481,3246.236323
71.4,3608.586741,4380.806581,4651.153382,4648.483056,4893.683555,5076.044023,3340.624627,3245.503954
71.5,3605.201111,4371.463313,4635.112796,4634.164424,4873.876503,5052.861477,3339.80524,3244.886906
71.6,3601.823667,4361.332136,4618.362308,4618.442399,4852.841005,5028.971649,3338.821613,3244.393843
71.7,3598.421283,4350.774525,4600.855661,4601.648484,4831.359174,5004.678204,3338.194367,3243.910529
71.8,3594.944714,4338.918706,4582.886577,4584.322499,4809.055691,4979.716772,3337.605109,3243.393765
71.9,3591.093931,4326.092705,4564.059404,4565.660129,4785.544849,4953.662467,3336.784274,3242.558503
72,3587.13654,4312.538501,4544.34465,4546.372884,4761.082539,4926.82371,3335.545181,3241.678244
72.1,3582.758678,4299.048955,4523.452516,4526.423131,4736.189378,4898.875063,3334.619786,3240.563573
72.2,3578.115606,4284.882309,4502.01226,4505.896951,4709.890399,4869.839784,3333.707056,3239.693559
72.3,3573.600153,4270.549181,4479.54106,4484.338967,4682.721967,4840.038164,3332.685251,3238.720819
72.4,3568.866531,4255.980233,4456.644078,4462.281461,4655.199905,4809.714596,3331.69391,3237.690819
72.5,3563.971301,4240.810626,4433.144645,4439.307826,4627.257477,4778.70365,3330.862321,3236.829825
72.6,3559.319872,4225.021012,4409.759091,4416.404465,4598.167278,4747.421594,3329.544211,3236.092386
72.7,3554.46714,4208.476091,4385.901398,4393.164798,4569.003895,4715.952065,3327.80992,3234.945764
72.8,3549.009401,4191.371148,4362.002951,4369.719558,4539.566838,4684.063819,3326.239315,3233.948837
72.9,3543.886891,4173.806314,4337.514836,4346.498257,4509.711109,4651.809002,3324.572039,3233.156467
73,3538.442435,4155.571666,4312.868615,4323.237655,4479.533602,4619.44348,3322.949933,3231.935315
73.1,3532.247837,4136.176758,4287.628407,4299.12095,4449.897002,4586.876498,3321.754325,3230.688387
73.2,3525.741148,4116.148125,4261.643651,4274.037575,4420.059765,4553.929939,3320.845208,3229.637012
73.3,3519.177741,4095.043935,4234.494946,4248.206808,4390.364974,4520.877525,3319.948527,3228.381834
73.4,3511.694572,4072.581399,4206.517564,4220.897634,4360.867132,4487.503981,3319.292755,3227.01069
73.5,3504.174708,4049.398673,4177.02395,4192.251818,4331.505067,4453.912385,3318.784585,3225.934683
73.6,3496.890649,4025.375574,4145.579231,4162.334336,4301.693482,4420.135947,3318.493772,3224.75899
73.7,3489.49462,4000.572562,4112.352021,4130.840016,4271.604917,4386.448328,3318.010635,3223.90167
73.8,3481.730584,3975.487815,4077.298199,4097.068197,4241.382536,4352.824111,3317.371954,3223.285415
73.9,3473.91018,3950.041427,4039.658839,4061.142766,4210.593637,4319.484418,3316.847139,3222.844658
74,3465.663816,3924.205307,3999.302062,4022.530504,4179.422122,4286.445602,3316.150966,3222.334794
74.1,3456.912609,3898.565937,3956.025879,3980.671807,4147.950748,4253.251912,3314.876537,3221.911071
74.2,3448.019564,3872.962843,3909.435388,3935.681271,4116.526812,4219.457129,3313.609011,3221.166687
74.3,3439.372627,3847.223519,3859.670032,3887.744892,4084.455659,4185.153624,3312.526983,3220.25989
74.4,3430.861439,3821.83355,3806.939432,3836.900801,4052.647697,4150.668681,3311.193579,3219.14397
74.5,3422.41542,3796.719038,3752.134515,3784.155527,4020.959825,4115.512024,3309.949034,3218.155486
74.6,3414.23558,3772.110552,3696.492514,3730.764359,3989.518805,4080.726327,3309.076355,3217.228845
74.7,3406.080285,3747.987726,3641.351304,3677.887567,3957.9421,4046.550081,3308.600003,3216.28756
74.8,3397.855269,3724.658774,3587.97344,3627.200168,3926.902198,4012.887578,3308.07049,3215.438953
74.9,3389.893547,3701.811955,3538.835617,3580.511534,3895.701367,3979.0895,3307.669545,3214.842629
75,3382.285151,3679.651054,3495.537277,3539.359875,3864.273348,3945.86171,3307.104126,3214.081315
75.1,3374.826679,3657.94148,3459.130608,3505.14446,3832.908986,3912.206389,3306.340562,3213.441588
75.2,3367.707233,3637.009337,3430.565889,3478.497999,3801.804031,3878.096964,3305.29215,3212.862801
75.3,3360.866105,3616.511678,3409.832833,3458.858141,3770.4329,3843.390538,3304.16948,3212.193508
75.4,3353.988721,3596.594259,3395.501729,3445.422462,3738.648898,3808.312956,3302.924684,3211.201705
75.5,3347.398059,3577.158633,3385.8492,3436.424062,3706.437809,3772.35905,3302.035187,3210.285377
75.6,3340.993332,3557.945891,3379.680979,3430.146101,3672.987385,3735.291011,3301.109376,3209.245987
75.7,3334.496089,3538.760259,3375.207309,3425.559267,3638.237112,3697.026075,3300.285927,3208.203096
75.8,3327.901275,3519.793334,3371.440735,3422.265448,3602.384943,3657.979118,3299.56534,3207.19425
75.9,3321.411185,3501.037768,3367.964979,3419.399939,3566.116655,3618.504248,3298.833659,3206.447738
76,3314.782802,3482.365502,3364.845792,3416.953364,3530.068343,3579.135271,3297.6821,3205.587263
76.1,3308.082865,3463.582939,3361.738548,3414.681278,3495.320056,3541.606012,3296.683046,3204.405327
76.2,3301.460699,3444.575102,3358.825463,3412.652221,3462.319595,3507.061341,3295.541266,3203.490352
76.3,3295.093828,3425.114157,3356.220204,3410.33632,3431.951548,3475.640437,3294.395008,3202.487367
76.4,3288.853769,3405.257201,3354.170386,3408.061633,3404.685005,3447.962636,3293.457556,3201.472325
76.5,3282.541377,3385.120796,3352.225954,3405.927597,3380.72528,3424.594683,3292.738463,3200.782771
76.6,3276.229391,3364.872664,3350.614684,3404.007157,3360.507551,3405.000801,3291.993298,3200.511017
76.7,3270.057693,3345.108795,3349.190712,3402.035001,3344.440693,3388.925559,3291.359224,3199.858945
76.8,3264.060933,3326.568841,3347.864318,3400.216556,3332.09216,3376.815186,3290.753373,3199.424899
76.9,3258.272735,3309.437098,3345.891091,3398.5897,3322.718968,3367.650164,3290.020356,3198.769006
77,3252.884977,3293.815637,3344.176084,3396.921257,3315.943721,3360.810126,3289.28452,3197.948121
77.1,3248.336038,3280.881848,3342.105098,3395.30573,3310.888551,3355.887539,3288.589697,3197.20572
77.2,3244.424394,3270.468954,3339.887261,3393.560724,3306.704069,3352.202883,3287.755048,3196.742951
77.3,3240.829579,3261.976186,3337.489245,3391.702518,3303.288754,3348.706555,3286.809102,3196.233231
77.4,3237.833331,3255.5731,3335.704292,3389.597143,3300.601245,3345.918499,3285.887595,3196.039083
77.5,3235.41031,3251.173824,3333.696919,3387.323688,3298.297054,3343.33391,3285.020755,3196.016097
77.6,3232.962945,3247.650537,3331.905734,3384.973571,3296.123606,3341.059326,3284.281446,3195.706574
77.7,3231.105866,3244.808462,3330.257077,3382.694297,3294.309155,3338.782986,3283.810196,3195.043802
77.8,3229.725994,3242.607298,3328.776146,3380.543068,3292.354372,3336.9573,3283.300507,3194.258976
77.9,3228.482443,3240.539119,3326.993352,3378.247035,3290.452198,3335.027767,3282.876858,3193.286486
